,name,cupping,cupping_notes,decaf,description,flavors,link,origin,overall_score,process,site
0,Brazil Adair Oliveira Neto,"{'Body': '8.8', 'Brightness': '8.3', 'Clean Cup': '8.5', 'Complexity': '8.4', 'Dry Fragrance': '8.3', 'Finish': '8.4', 'Flavor': '8.7', 'Sweetness': '8.4', 'Uniformity': '8.5', 'Wet Aroma': '8.5'}","The single farmer Brazils we bought this year are so dang impressive, and this lot from Oliviera Neto is another atypical dry process Brazilian coffee. The fragrance of the dry ground coffee has sugar browning type sweetness, with notes of crisped toffee with peanut, lime zest, and an herbal undertone. The aroma conjures up aromatic impressions of butterscotch sauce, and torched sugars. City and City+ roasts have a raw sugar sweetness, a pleasant flavor of simple brown sugars is propped up by apple-like acidity, which helps to convey a 'clean' cup profile. The coffee has a crisp Bartlett pear note, with subtle sweet herbal accents that add a nice aromatic quality to the cup. My Full City+ roast was just too dark for this coffee. The bittering flavors need countering sweetness to help balance things out, and they just weren't there. Full City is the maximum roast I'd recommend, steering clear of any 2nd snaps.",False,"Atypical Brazil dry process, pleasant flavors of simple brown sugars are propped up by mild apple-like acidity, a crisp Bartlett pear note, and subtle sweet herbals add an aromatic quality to the cup. City to Full City.","{'Berry': '0', 'Body': '4', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '2', 'Sugars': '3'}",https://www.sweetmarias.com/brazil-adair-de-oliveira-neto-7119.html,Brazil,87.3,Dry Process (Natural),SM
1,Brazil Alta Mogiana Bom Jesus,"{'Body': '9', 'Brightness': '7.3', 'Clean Cup': '7.7', 'Complexity': '8', 'Dry Fragrance': '8', 'Finish': '7.7', 'Flavor': '8.5', 'Sweetness': '7.6', 'Uniformity': '8.2', 'Wet Aroma': '8.5'}","The dry fragrance shows a pleasant nutty sweetness at City+, peanut butter cookie, with a shade of dark cocoa behind it. The wet aroma only seems to accentuate the peanut butter cookie note, with smells of warm baked cookies in the steam, along with a toffee/nut brittle note. The brewed coffee has an underlying bittering roast quality that flows through cup, accented by hints of peanut taffy, and other sweets made with nuts and toasted sesame. Darker roasts have a bittersweet cocoa aspect that brings out a nice flavor of dark chocolate covered nut. I pulled an excellent shot of my Full City roast after resting for 48 hours. The texture was so creamy and dense, with sharp flavors of bittersweet dark chocolate that had the richness and depth of flourless torte. Awesome espresso on its own, but also would function well as a blend base too.",False,"Bittersweet bass notes flow through cup, accented by hints of peanut taffy, cocoa powder, and dark chocolate covered nut. Espresso shots are creamy, with richness and depth of flourless torte. City+ to Full City+. Good for espresso.","{'Berry': '0', 'Body': '4', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '1', 'Nuts': '3', 'Rustic': '2', 'Spice': '0', 'Sugars': '2.5'}",https://www.sweetmarias.com/brazil-alta-mogiana-bom-jesus-7342.html,Brazil,85.5,Dry Process (Natural),SM
2,Brazil Alta Mogiana Santo Amaro,"{'Body': '8.7', 'Brightness': '8.2', 'Clean Cup': '7.5', 'Complexity': '8.8', 'Dry Fragrance': '7.8', 'Finish': '8', 'Flavor': '8.4', 'Sweetness': '8.2', 'Uniformity': '8.3', 'Wet Aroma': '8.1'}","The dry ground coffee has a scent of roasted peanut in molasses glaze, that when adding hot water, yields a savory-sweet aroma of warmed chocolate syrup and honey-roasted nut. Santo Amaro shows some of the more typical Brazil cup flavors, rich bittersweetness, savory nut tones, big body name a few. But outside of this, it also presents a very nice, tea-like acidic impression at the lighter end of the roast spectrum that, along with some of the more umami-type flavor notes, conveys a flavor like slightly sweetened buckwheat tea. The core bittering roast flavors are fully developed at Full City roast level, the notes of cacao powder and baking chocolate solidifying its place as single origin espresso, and as a base for coffee milk drinks too.",False,"Rich bittersweetness, umami and savory nut tones, big body, cacao powder, baking chocolate, and nice acidity for Brazil with a flavor of buckwheat tea. City+ to Full City+. Good for espresso.","{'Berry': '0', 'Body': '3.5', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '0', 'Honey': '1', 'Nuts': '3', 'Rustic': '2.5', 'Spice': '0', 'Sugars': '2.5'}",https://www.sweetmarias.com/brazil-alta-mogiana-santo-amaro-7142.html,Brazil,86,Dry Process (Natural),SM
3,Brazil Carmo Fazenda Furnas,"{'Body': '9', 'Brightness': '7.5', 'Clean Cup': '7.8', 'Complexity': '8.5', 'Dry Fragrance': '8.2', 'Finish': '7.8', 'Flavor': '8.4', 'Sweetness': '8.2', 'Uniformity': '8.2', 'Wet Aroma': '8.4'}","This natural from Fazenda Furnas has subtle fruits, but with a nice, mild sweetness that rounds out the cup quite well. The dry fragrance has a smell of dried whole banana, honey wheat bread, and a hint of caramel-coated peanuts. The sweet nut smells come off like Thai peanut sauce at City+, malted chocolate, and something like raisin bread. Furnas packs hefty sweetness for Brazil, flavor notes of molasses bread, and barley malt come to mind, which are nicely developed in middle roasts. Nut tones are fairly subdued for Brazil, to be honest. The coffee cools down to reveal hints of fruit, like banana nut bread, and Turkish delights (think ""Aplets and Cotlets""). Our City+ and Full City roasts brewed well, and anything beyond should yield a wonderfully bittersweet, bodied cup or Brazilian espresso. I think Fazenda Furnas will work very well as a blend base to equal parts washed Central American coffee, and a sweet bourbon type like Rwanda. Though not necessary, we do suggest waiting a full 48 hours post roast to allow the profile to settle into place.",False,"Notes of molasses and banana nut breads, barley malt, bittersweet chocolate, low acidity, creamy mouthfeel, and hints of dried fruit in the background. City+ to Full City+. Good for espresso.","{'Berry': '0', 'Body': '4', 'Caramel': '1', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1.5', 'Honey': '1', 'Nuts': '2', 'Rustic': '1.5', 'Spice': '0', 'Sugars': '2.5'}",https://www.sweetmarias.com/brazil-carmo-fazenda-furnas-7173.html,Brazil,86.5,Dry Process (Natural),SM
4,Brazil Carmo de Minas SWP Decaf,"{'Body': '8.8', 'Brightness': '7.2', 'Clean Cup': '8.2', 'Complexity': '7.5', 'Dry Fragrance': '8.2', 'Finish': '7.8', 'Flavor': '8.6', 'Sweetness': '8.3', 'Uniformity': '9.5', 'Wet Aroma': '8.4'}","The dry fragrance has a sweet almond note, marzipan, almond cookie, with some bread malt type sweetness behind it. Full City roasts have convincing chocolate smells, spiced dark chocolate, chocolate sesame. The wet aroma is even sweeter, with caramelized sweetness complimented by a nice note of fruit and nut bar, and some granola with raisin. This is a well-balanced decaf at a pretty wide roast range, and perhaps most important, it even makes a great cup when roasted light. I'll be honest, I expected more typical nutty Brazil coffee flavors going in, but what I tasted was a nice, sweet surprise! The cup profile has sipid sweetness of unrefined sugars that fades to balanced roast bittering. My lighter roasts produced hints of chocolate-covered raisin, sesame, that constructs a flavor profile of chocolate halvah (Middle Eastern treat made with sesame tahini and chocolate). The coffee has some decaf flavor aspects in the cup too, but didn't detract from my lightest roast, and was negligible in medium roasts. I found body to be substantial at Full City, which not only helps make this a crowd pleasing decaf, but also indicates a creamy decaf espresso too.",True,"Sipid sweetness of unrefined sugars fades to balanced roast bittering, with hints of chocolate-covered raisin, sesame chocolate halvah, and substantial body helps make this a crowd pleasing brew. City to Full City. Good for espresso.","{'Berry': '0', 'Body': '4', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '3'}",https://www.sweetmarias.com/brazil-carmo-de-minas-swp-decaf-7231.html,Brazil,86.5,Swiss Water Decaf,SM
5,Brazil Cerrado Fred Terumi,"{'Body': '9.3', 'Brightness': '8', 'Clean Cup': '8', 'Complexity': '8', 'Dry Fragrance': '8.3', 'Finish': '8.1', 'Flavor': '8.4', 'Sweetness': '8.4', 'Uniformity': '8.2', 'Wet Aroma': '8.5'}","The cup sweetness and roast bittering strike the most balance in the City+/Full City area, for me, right around 25F beyond the onset of 1st Crack. In that range, the coffee grounds have plenty of campfire-like roast bittering in smell, but molasses, and caramel coated roasted nuts add a pleasant counterpoint. The wet aroma has a nice mixture of intense cocoa smells, honey wheat, and crisped caramel in the steam. My first thought when drinking the brew is what a great body coffee this makes, and the balanced bittersweetness makes for a fairly neutral profile initially. The moderate sweetness of caramel and toasted sugar builds a bit as it cools, and flavor notes play out to notes of high % cacao bar and a little baking chocolate in the finish. This is a great dual use option for espresso too, and the perfect choice for a body/bittersweet component for espresso blending. All the more reason to try as single origin espresso first!",False,"What a great body coffee this is, moderate caramel and toasted sugar sweetness, high % cacao bar and baking chocolate bass tones. City+ to Full City+. Good for espresso, and perfect base espresso component!","{'Berry': '0', 'Body': '4.5', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '1.5', 'Rustic': '1', 'Spice': '0', 'Sugars': '2.5'}",https://www.sweetmarias.com/brazil-cerrado-fred-terumi-7120.html,Brazil,86.2,Dry Process (Natural),SM
6,Brazil Dry Process Cafeicultores de Minas,"{'Body': '9', 'Brightness': '7.5', 'Clean Cup': '7.5', 'Complexity': '7.5', 'Dry Fragrance': '7.5', 'Finish': '7.5', 'Flavor': '8.2', 'Sweetness': '8.1', 'Uniformity': '8', 'Wet Aroma': '8.2'}","The dry fragrance releases a scent of peanut candies, baking cocoa, and note of miso/savory aspect in my City+ roast. The wet aroma has more of a creamy nut tone to it, like hazelnut and Brazil nut, still with the soft roast tones rounding out the profile, just a shadow of fruit in the background. Full City (""FC"") roasts produce intense roast bittering, and underscores flavors of baking chocolate and semi-sweet chocolate chips. Bittersweetness gives way to notes of roasted nut, and sesame cookies in the aftertaste, along with a subtle hint of amaretto. I found Full City roasts to be the most well-rounded and versatile, with low acidity. The chocolate/body cup profile that comes at that roast level certainly bodes well for milk drinks and espresso too!",False,"Intense roast bittering underscores flavors of baking chocolate, nutty notes, sesame, a hint of amaretto and low acidity. Great for milk drinks! Full City to Full City+. Good for espresso.","{'Berry': '0', 'Body': '4', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '1', 'Nuts': '3', 'Rustic': '1', 'Spice': '0', 'Sugars': '2.5'}",https://www.sweetmarias.com/brazil-dry-process-cafeicultores-de-minas-7343.html,Brazil,85,Dry Process (Natural),SM
7,Brazil Fazenda Alta Vista,"{'Body': '8.7', 'Brightness': '8.1', 'Clean Cup': '8.3', 'Complexity': '8', 'Dry Fragrance': '8.2', 'Finish': '8.3', 'Flavor': '8.5', 'Sweetness': '8.4', 'Uniformity': '8.5', 'Wet Aroma': '8.5'}","The coffee from Alta Vista Farm presents a nice culmination of roasted nut and cocoa bittering aspects, showing the most balance around City+ roast level (and even some slight fruit too!). This is where nuanced roast tones are complimented by caramel hints, with almond and pecan flavors folded in. The cup has a nice simple sweetness, touching on burned caramel and hazelnut chocolate. As it cools, the focal point remains centered around a caramel nut and bittersweet chocolate core, our flavor descriptors landing squarely on chocolate dipped almond brittle. But there's also a muddled fruit flavor in the background of the lighter roasts that hints at apple butter and blackberry tea. Alta Vista is a full-bodied coffee that brews nicely at a surprisingly wide roast range, also filling the need for a chocolate toned espresso when roasted to Full City/Full City+.",False,"Culmination of roasted nut and cocoa bittering aspects, burned caramel, almond and pecan, hazelnut chocolate, chocolate dipped almond brittle, and a hint of apple butter. City to Full City+. Good for espresso.","{'Berry': '1', 'Body': '3.5', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1', 'Honey': '1', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '2'}",https://www.sweetmarias.com/brazil-fazenda-alta-vista-7171.html,Brazil,86.5,Dry Process (Natural),SM
8,Brazil Minas Fazenda Veredas,"{'Body': '9', 'Brightness': '8', 'Clean Cup': '8.3', 'Complexity': '8.2', 'Dry Fragrance': '7.5', 'Finish': '8.3', 'Flavor': '8.5', 'Sweetness': '8.3', 'Uniformity': '8', 'Wet Aroma': '8.4'}","The dry fragrance was pretty low intensity for me, some candied peanut smells at City+ roast level, and bare bones Baking cocoa at Full City+. The sweetness picks up quite a bit after adding hot water, drawing out notes of toffee, and marzipan. City+ roasts brew nicely, with a fairly clean sweetness considering this coffee is dry process (it reminded me of pulp natural Brazil actually). Nut notes have a creamy flavor, like unsalted pistachio or macadamia nuts, and the sweetness reminded me of sweetened almond milk. Full City roasts are much more chocolate-forward, with the decadence of a dark chocolate brownie, and flourless torte. Fazenda Veredas works very well as espresso, a perfect creamy chocolate shot on its own, but the two-dimensional flavor profile makes it blend-friendly too.",False,"Middle roasts brew nicely, a mild caramel sweetness, almond milk, pistachio and macadamia nuts, and the decadence of a dark chocolate brownie, and flourless torte. City+ to Full City+. Good for espresso.","{'Berry': '0', 'Body': '4', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1', 'Honey': '0', 'Nuts': '2', 'Rustic': '0', 'Spice': '1', 'Sugars': '3'}",https://www.sweetmarias.com/brazil-minas-fazenda-veredas-7116.html,Brazil,86.5,Dry Process (Natural),SM
9,Brazil Mogiana Vera Lucia,"{'Body': '9.2', 'Brightness': '7.8', 'Clean Cup': '8', 'Complexity': '8.2', 'Dry Fragrance': '8', 'Finish': '7.7', 'Flavor': '8.4', 'Sweetness': '8.3', 'Uniformity': '8.5', 'Wet Aroma': '8.3'}","The dry grounds have a molasses bread smell with hazelnut, a hint of natural dried banana, and some rustic earthy accents. The wet aroma displays rustic natural sweeteners like blackstrap molasses and palm sugar at City+, with a cooked cherry accent note, and a hint of warm bread pudding. This is a great middle roast coffee, and I suggest sticking to City+ or darker. My Full City roast made a really nice brew, with mild nutty sweetness that feeds into notes of almond extract, and banana bread with walnut, along with a hint of amaretto. The backdrop has opaque bittersweetness, baking cocoa, and chocolate milk notes, and some earthy spice in the finish. This is the type of profile that lends itself to milk drinks too.",False,"A profile that lends itself to milk drinks, opaque bittersweet backdrop, mild nutty sweetness, notes of almond extract, baking cocoa, banana-nut bread, and some earthy spice in the finish. City+ to Full City+. Good for espresso.","{'Berry': '1', 'Body': '4', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1', 'Honey': '0', 'Nuts': '3', 'Rustic': '2', 'Spice': '1.5', 'Sugars': '3'}",https://www.sweetmarias.com/brazil-mogiana-vera-lucia-7117.html,Brazil,86.4,Dry Process (Natural),SM
