,name,cupping,Body,Brightness,Clean Cup,Complexity,Dry Fragrance,Finish,Flavor,Sweetness,Uniformity,Wet Aroma
0,Brazil Adair Oliveira Neto,"{'Body': '8.8', 'Brightness': '8.3', 'Clean Cup': '8.5', 'Complexity': '8.4', 'Dry Fragrance': '8.3', 'Finish': '8.4', 'Flavor': '8.7', 'Sweetness': '8.4', 'Uniformity': '8.5', 'Wet Aroma': '8.5'}",8.8,8.3,8.5,8.4,8.3,8.4,8.7,8.4,8.5,8.5
1,Brazil Alta Mogiana Bom Jesus,"{'Body': '9', 'Brightness': '7.3', 'Clean Cup': '7.7', 'Complexity': '8', 'Dry Fragrance': '8', 'Finish': '7.7', 'Flavor': '8.5', 'Sweetness': '7.6', 'Uniformity': '8.2', 'Wet Aroma': '8.5'}",9.0,7.3,7.7,8.0,8.0,7.7,8.5,7.6,8.2,8.5
2,Brazil Alta Mogiana Santo Amaro,"{'Body': '8.7', 'Brightness': '8.2', 'Clean Cup': '7.5', 'Complexity': '8.8', 'Dry Fragrance': '7.8', 'Finish': '8', 'Flavor': '8.4', 'Sweetness': '8.2', 'Uniformity': '8.3', 'Wet Aroma': '8.1'}",8.7,8.2,7.5,8.8,7.8,8.0,8.4,8.2,8.3,8.1
3,Brazil Carmo Fazenda Furnas,"{'Body': '9', 'Brightness': '7.5', 'Clean Cup': '7.8', 'Complexity': '8.5', 'Dry Fragrance': '8.2', 'Finish': '7.8', 'Flavor': '8.4', 'Sweetness': '8.2', 'Uniformity': '8.2', 'Wet Aroma': '8.4'}",9.0,7.5,7.8,8.5,8.2,7.8,8.4,8.2,8.2,8.4
4,Brazil Carmo de Minas SWP Decaf,"{'Body': '8.8', 'Brightness': '7.2', 'Clean Cup': '8.2', 'Complexity': '7.5', 'Dry Fragrance': '8.2', 'Finish': '7.8', 'Flavor': '8.6', 'Sweetness': '8.3', 'Uniformity': '9.5', 'Wet Aroma': '8.4'}",8.8,7.2,8.2,7.5,8.2,7.8,8.6,8.3,9.5,8.4
5,Brazil Cerrado Fred Terumi,"{'Body': '9.3', 'Brightness': '8', 'Clean Cup': '8', 'Complexity': '8', 'Dry Fragrance': '8.3', 'Finish': '8.1', 'Flavor': '8.4', 'Sweetness': '8.4', 'Uniformity': '8.2', 'Wet Aroma': '8.5'}",9.3,8.0,8.0,8.0,8.3,8.1,8.4,8.4,8.2,8.5
6,Brazil Dry Process Cafeicultores de Minas,"{'Body': '9', 'Brightness': '7.5', 'Clean Cup': '7.5', 'Complexity': '7.5', 'Dry Fragrance': '7.5', 'Finish': '7.5', 'Flavor': '8.2', 'Sweetness': '8.1', 'Uniformity': '8', 'Wet Aroma': '8.2'}",9.0,7.5,7.5,7.5,7.5,7.5,8.2,8.1,8.0,8.2
7,Brazil Fazenda Alta Vista,"{'Body': '8.7', 'Brightness': '8.1', 'Clean Cup': '8.3', 'Complexity': '8', 'Dry Fragrance': '8.2', 'Finish': '8.3', 'Flavor': '8.5', 'Sweetness': '8.4', 'Uniformity': '8.5', 'Wet Aroma': '8.5'}",8.7,8.1,8.3,8.0,8.2,8.3,8.5,8.4,8.5,8.5
8,Brazil Minas Fazenda Veredas,"{'Body': '9', 'Brightness': '8', 'Clean Cup': '8.3', 'Complexity': '8.2', 'Dry Fragrance': '7.5', 'Finish': '8.3', 'Flavor': '8.5', 'Sweetness': '8.3', 'Uniformity': '8', 'Wet Aroma': '8.4'}",9.0,8.0,8.3,8.2,7.5,8.3,8.5,8.3,8.0,8.4
9,Brazil Mogiana Vera Lucia,"{'Body': '9.2', 'Brightness': '7.8', 'Clean Cup': '8', 'Complexity': '8.2', 'Dry Fragrance': '8', 'Finish': '7.7', 'Flavor': '8.4', 'Sweetness': '8.3', 'Uniformity': '8.5', 'Wet Aroma': '8.3'}",9.2,7.8,8.0,8.2,8.0,7.7,8.4,8.3,8.5,8.3
