,name,flavors
0,Brazil Adair Oliveira Neto,"{'Berry': '0', 'Body': '4', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '2', 'Sugars': '3'}"
1,Brazil Alta Mogiana Bom Jesus,"{'Berry': '0', 'Body': '4', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '1', 'Nuts': '3', 'Rustic': '2', 'Spice': '0', 'Sugars': '2.5'}"
2,Brazil Alta Mogiana Santo Amaro,"{'Berry': '0', 'Body': '3.5', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '0', 'Honey': '1', 'Nuts': '3', 'Rustic': '2.5', 'Spice': '0', 'Sugars': '2.5'}"
3,Brazil Carmo Fazenda Furnas,"{'Berry': '0', 'Body': '4', 'Caramel': '1', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1.5', 'Honey': '1', 'Nuts': '2', 'Rustic': '1.5', 'Spice': '0', 'Sugars': '2.5'}"
4,Brazil Carmo de Minas SWP Decaf,"{'Berry': '0', 'Body': '4', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '3'}"
5,Brazil Cerrado Fred Terumi,"{'Berry': '0', 'Body': '4.5', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '1.5', 'Rustic': '1', 'Spice': '0', 'Sugars': '2.5'}"
6,Brazil Dry Process Cafeicultores de Minas,"{'Berry': '0', 'Body': '4', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '1', 'Nuts': '3', 'Rustic': '1', 'Spice': '0', 'Sugars': '2.5'}"
7,Brazil Fazenda Alta Vista,"{'Berry': '1', 'Body': '3.5', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1', 'Honey': '1', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '2'}"
8,Brazil Minas Fazenda Veredas,"{'Berry': '0', 'Body': '4', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1', 'Honey': '0', 'Nuts': '2', 'Rustic': '0', 'Spice': '1', 'Sugars': '3'}"
9,Brazil Mogiana Vera Lucia,"{'Berry': '1', 'Body': '4', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1', 'Honey': '0', 'Nuts': '3', 'Rustic': '2', 'Spice': '1.5', 'Sugars': '3'}"
